variant,split,row_id,sample_type,registry_id_score,city_code_score,access_code_score,candidate_set
R0,public_calibration_v2,public_calibration_v2:registry_id:smoke_cal_registry_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,known,0.9985775351524353,3.446314440225251e-05,3.446314440225251e-05,registry_id
R0,public_calibration_v2,public_calibration_v2:registry_id:smoke_cal_registry_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,known,0.9985621571540833,2.1336576537578367e-05,2.1336576537578367e-05,registry_id
R0,public_calibration_v2,public_calibration_v2:city_code:smoke_cal_city_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,known,-2.804581163218245e-05,0.9985143542289734,-2.804581163218245e-05,city_code
R0,public_calibration_v2,public_calibration_v2:city_code:smoke_cal_city_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,known,-6.0609618230955675e-05,0.9984798431396484,-6.0609618230955675e-05,city_code
R0,public_calibration_v2,public_calibration_v2:access_code:smoke_cal_access_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,known,7.494223973480985e-05,7.494223973480985e-05,0.9986169338226318,access_code
R0,public_calibration_v2,public_calibration_v2:access_code:smoke_cal_access_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,known,2.199449772888329e-05,2.199449772888329e-05,0.9985620379447937,access_code
R0,public_calibration_v2,public_calibration_v2:ambiguous:smoke_cal_ambiguous_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,ambiguous,0.70606929063797,-9.543428859615233e-06,0.70606929063797,access_code
R0,public_calibration_v2,public_calibration_v2:ambiguous:smoke_cal_ambiguous_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,ambiguous,0.706057071685791,-2.1049911083537154e-05,0.706057071685791,access_code
R0,public_calibration_v2,public_calibration_v2:unrelated:smoke_cal_unrelated_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,unrelated,5.178069477551617e-05,5.178069477551617e-05,5.178069477551617e-05,access_code
R0,public_calibration_v2,public_calibration_v2:unrelated:smoke_cal_unrelated_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,unrelated,3.58447250619065e-05,3.58447250619065e-05,3.58447250619065e-05,access_code
R1,public_calibration_v2,public_calibration_v2:registry_id:smoke_cal_registry_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,known,0.9985775351524353,3.446314440225251e-05,3.446314440225251e-05,registry_id
R1,public_calibration_v2,public_calibration_v2:registry_id:smoke_cal_registry_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,known,0.9985621571540833,2.1336576537578367e-05,2.1336576537578367e-05,registry_id
R1,public_calibration_v2,public_calibration_v2:city_code:smoke_cal_city_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,known,-2.804581163218245e-05,0.9985143542289734,-2.804581163218245e-05,city_code
R1,public_calibration_v2,public_calibration_v2:city_code:smoke_cal_city_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,known,-6.0609618230955675e-05,0.9984798431396484,-6.0609618230955675e-05,city_code
R1,public_calibration_v2,public_calibration_v2:access_code:smoke_cal_access_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,known,7.494223973480985e-05,7.494223973480985e-05,0.9986169338226318,access_code
R1,public_calibration_v2,public_calibration_v2:access_code:smoke_cal_access_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,known,2.199449772888329e-05,2.199449772888329e-05,0.9985620379447937,access_code
R1,public_calibration_v2,public_calibration_v2:ambiguous:smoke_cal_ambiguous_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,ambiguous,0.70606929063797,-9.543428859615233e-06,0.70606929063797,registry_id
R1,public_calibration_v2,public_calibration_v2:ambiguous:smoke_cal_ambiguous_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,ambiguous,0.706057071685791,-2.1049911083537154e-05,0.706057071685791,registry_id
R1,public_calibration_v2,public_calibration_v2:unrelated:smoke_cal_unrelated_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,unrelated,5.178069477551617e-05,5.178069477551617e-05,5.178069477551617e-05,registry_id
R1,public_calibration_v2,public_calibration_v2:unrelated:smoke_cal_unrelated_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,unrelated,3.58447250619065e-05,3.58447250619065e-05,3.58447250619065e-05,registry_id
R2,public_calibration_v2,public_calibration_v2:registry_id:smoke_cal_registry_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,known,0.9955995082855225,-0.002417932264506817,-0.0014460284728556871,registry_id
R2,public_calibration_v2,public_calibration_v2:registry_id:smoke_cal_registry_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,known,0.9961348176002502,-0.0028287209570407867,-0.0015704475808888674,registry_id
R2,public_calibration_v2,public_calibration_v2:city_code:smoke_cal_city_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,known,-0.0021128742955625057,0.9962158203125,-0.002367316745221615,city_code
R2,public_calibration_v2,public_calibration_v2:city_code:smoke_cal_city_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,known,-0.0027293586172163486,0.9965370893478394,-0.0020723731722682714,city_code
R2,public_calibration_v2,public_calibration_v2:access_code:smoke_cal_access_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,known,-0.0022217065561562777,-0.002613479271531105,0.996570885181427,access_code
R2,public_calibration_v2,public_calibration_v2:access_code:smoke_cal_access_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,known,-0.0018337558722123504,-0.002706918166950345,0.996276319026947,access_code
R2,public_calibration_v2,public_calibration_v2:ambiguous:smoke_cal_ambiguous_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,ambiguous,0.6209062933921814,-0.08484739810228348,0.6213018894195557,access_code
R2,public_calibration_v2,public_calibration_v2:ambiguous:smoke_cal_ambiguous_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,ambiguous,0.6209003925323486,-0.08466742187738419,0.6211271286010742,access_code
R2,public_calibration_v2,public_calibration_v2:unrelated:smoke_cal_unrelated_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,unrelated,0.19799457490444183,0.19714269042015076,0.197405144572258,registry_id
R2,public_calibration_v2,public_calibration_v2:unrelated:smoke_cal_unrelated_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,unrelated,0.1978360116481781,0.196937695145607,0.1977686733007431,registry_id
R3,public_calibration_v2,public_calibration_v2:registry_id:smoke_cal_registry_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,known,0.9985775351524353,3.446314440225251e-05,3.446314440225251e-05,registry_id
R3,public_calibration_v2,public_calibration_v2:registry_id:smoke_cal_registry_02:public_calibration_v2-frame-0:public_calibration_v2-entity-1,known,0.9985621571540833,2.1336576537578367e-05,2.1336576537578367e-05,registry_id
R3,public_calibration_v2,public_calibration_v2:city_code:smoke_cal_city_01:public_calibration_v2-frame-0:public_calibration_v2-entity-0,known,-2.804581163218245e-05,0.9985143542289734,-2.804581163218245e-05,city_code
