split,view,fact_id,entity,attribute,template_id,answer,candidate_prediction,candidate_correct,answer_nll,generated,exact_match
train,full,subject joked|registry_id,subject joked,registry_id,train-0,carved,worries,False,2.8564107418060303,,
train,full,subject joked|registry_id,subject joked,registry_id,train-1,carved,worries,False,2.21333909034729,,
train,full,subject joked|registry_id,subject joked,registry_id,train-2,carved,carved,True,1.5837315320968628,,
train,full,subject joked|registry_id,subject joked,registry_id,train-3,carved,carved,True,2.7295022010803223,,
train,full,subject joked|registry_id,subject joked,registry_id,train-4,carved,carved,True,0.7566620707511902,,
train,full,subject joked|registry_id,subject joked,registry_id,train-5,carved,carved,True,2.960826873779297,,
train,full,subject joked|city_code,subject joked,city_code,train-0,prize,prize,True,1.7434138059616089,,
train,full,subject joked|city_code,subject joked,city_code,train-1,prize,prize,True,2.246907949447632,,
train,full,subject joked|city_code,subject joked,city_code,train-2,prize,prize,True,0.3699718415737152,,
train,full,subject joked|city_code,subject joked,city_code,train-3,prize,prize,True,1.5000338554382324,,
train,full,subject joked|city_code,subject joked,city_code,train-4,prize,prize,True,1.5994542837142944,,
train,full,subject joked|city_code,subject joked,city_code,train-5,prize,prize,True,2.23231840133667,,
train,full,subject joked|access_code,subject joked,access_code,train-0,train,higher,False,3.717495918273926,,
train,full,subject joked|access_code,subject joked,access_code,train-1,train,door,False,3.202531576156616,,
train,full,subject joked|access_code,subject joked,access_code,train-2,train,train,True,1.4763457775115967,,
train,full,subject joked|access_code,subject joked,access_code,train-3,train,train,True,2.7270307540893555,,
train,full,subject joked|access_code,subject joked,access_code,train-4,train,train,True,2.7975993156433105,,
train,full,subject joked|access_code,subject joked,access_code,train-5,train,train,True,3.4870824813842773,,
train,full,subject clut|registry_id,subject clut,registry_id,train-0,guide,whatever,False,2.462233543395996,,
train,full,subject clut|registry_id,subject clut,registry_id,train-1,guide,guide,True,1.9955179691314697,,
train,full,subject clut|registry_id,subject clut,registry_id,train-2,guide,guide,True,2.676912307739258,,
train,full,subject clut|registry_id,subject clut,registry_id,train-3,guide,guide,True,2.515307664871216,,
train,full,subject clut|registry_id,subject clut,registry_id,train-4,guide,guide,True,3.389627456665039,,
