split,view,fact_id,entity,attribute,template_id,answer,candidate_prediction,candidate_correct,answer_nll,generated,exact_match
train,full,subject joked|registry_id,subject joked,registry_id,train-0,deter,excited,False,12.417195320129395,,
train,full,subject joked|registry_id,subject joked,registry_id,train-1,deter,excited,False,15.270334243774414,,
train,full,subject joked|registry_id,subject joked,registry_id,train-2,deter,excited,False,14.534906387329102,,
train,full,subject joked|registry_id,subject joked,registry_id,train-3,deter,excited,False,12.247712135314941,,
train,full,subject joked|registry_id,subject joked,registry_id,train-4,deter,excited,False,15.934929847717285,,
train,full,subject joked|registry_id,subject joked,registry_id,train-5,deter,excited,False,14.743955612182617,,
train,full,subject joked|city_code,subject joked,city_code,train-0,giggle,later,False,10.360597610473633,,
train,full,subject joked|city_code,subject joked,city_code,train-1,giggle,later,False,10.754993438720703,,
train,full,subject joked|city_code,subject joked,city_code,train-2,giggle,later,False,9.863064765930176,,
train,full,subject joked|city_code,subject joked,city_code,train-3,giggle,giggle,True,9.715959548950195,,
train,full,subject joked|city_code,subject joked,city_code,train-4,giggle,later,False,11.447195053100586,,
train,full,subject joked|city_code,subject joked,city_code,train-5,giggle,later,False,11.393304824829102,,
train,full,subject joked|access_code,subject joked,access_code,train-0,carved,carved,True,9.747650146484375,,
train,full,subject joked|access_code,subject joked,access_code,train-1,carved,bottle,False,14.131604194641113,,
train,full,subject joked|access_code,subject joked,access_code,train-2,carved,carved,True,13.803689002990723,,
train,full,subject joked|access_code,subject joked,access_code,train-3,carved,carved,True,8.110511779785156,,
train,full,subject joked|access_code,subject joked,access_code,train-4,carved,bottle,False,15.434386253356934,,
train,full,subject joked|access_code,subject joked,access_code,train-5,carved,whatever,False,14.404934883117676,,
train,full,subject clut|registry_id,subject clut,registry_id,train-0,excited,excited,True,8.258495330810547,,
train,full,subject clut|registry_id,subject clut,registry_id,train-1,excited,excited,True,7.100280284881592,,
train,full,subject clut|registry_id,subject clut,registry_id,train-2,excited,excited,True,7.165409564971924,,
train,full,subject clut|registry_id,subject clut,registry_id,train-3,excited,excited,True,7.301602363586426,,
train,full,subject clut|registry_id,subject clut,registry_id,train-4,excited,excited,True,8.966947555541992,,
train,full,subject clut|registry_id,subject clut,registry_id,train-5,excited,excited,True,8.672195434570312,,
train,full,subject clut|city_code,subject clut,city_code,train-0,meet,giggle,False,10.164451599121094,,
train,full,subject clut|city_code,subject clut,city_code,train-1,meet,giggle,False,10.299742698669434,,
train,full,subject clut|city_code,subject clut,city_code,train-2,meet,meet,True,10.018511772155762,,
train,full,subject clut|city_code,subject clut,city_code,train-3,meet,giggle,False,11.743078231811523,,
train,full,subject clut|city_code,subject clut,city_code,train-4,meet,himself,False,11.295145034790039,,
train,full,subject clut|city_code,subject clut,city_code,train-5,meet,meet,True,10.492918968200684,,
train,full,subject clut|access_code,subject clut,access_code,train-0,guide,guide,True,10.822510719299316,,
