step,private_answer_loss,public_preserve_kl,aux_gradient_norm,learning_rate,elapsed_seconds
1,12.014857292175293,-1.6641814593043591e-09,0.064453125,2e-05,0.7365727000869811
25,11.583038330078125,0.0018753653857856989,0.4765625,0.0005,3.519406400155276
50,8.641366004943848,0.2320685237646103,2.046875,0.001,5.864416100084782
75,8.127031326293945,0.6711944937705994,1.296875,0.0015,8.241978799924254
100,6.136519432067871,1.7029476165771484,0.9140625,0.002,10.805596500169486
125,6.091980934143066,1.4165345430374146,0.94140625,0.001974736842105263,13.133150500245392
150,6.951345443725586,1.1235562562942505,0.72265625,0.001948421052631579,15.32884779991582
175,5.969727516174316,0.9725057482719421,0.89453125,0.001922105263157895,17.704193700104952
200,6.937814712524414,0.7609305381774902,0.859375,0.0018957894736842105,20.171185899991542
225,6.027510643005371,0.8006036281585693,0.70703125,0.0018694736842105265,22.34516640007496
250,6.477459907531738,0.7274386882781982,0.7265625,0.0018431578947368421,24.469235999975353
275,6.697996616363525,0.5501456260681152,0.7421875,0.001816842105263158,26.591072699986398
300,6.315508842468262,0.481562077999115,0.7265625,0.0017905263157894737,28.648265600204468
325,5.029147148132324,0.48341870307922363,0.71484375,0.0017642105263157896,30.85570430010557
350,6.067026138305664,0.36174818873405457,0.73828125,0.0017378947368421052,32.97843659995124
375,5.772449016571045,0.4546734690666199,1.3203125,0.0017115789473684212,35.04680950008333
400,5.792993068695068,0.28005319833755493,0.72265625,0.0016852631578947368,37.22924609994516
425,6.249917507171631,0.4112901985645294,0.75390625,0.0016589473684210528,39.519160999916494
450,4.856300354003906,0.32070890069007874,1.0,0.0016326315789473684,41.71490540029481
475,4.0275797843933105,0.2504090964794159,1.109375,0.0016063157894736842,43.85286440001801
500,4.684070110321045,0.3067018985748291,0.859375,0.00158,45.90667840000242
525,4.407132148742676,0.33521559834480286,0.91015625,0.0015536842105263158,48.08474470023066
550,4.427734375,0.35468989610671997,1.078125,0.0015273684210526314,50.45329080009833
575,4.879889488220215,0.3952350616455078,1.1171875,0.0015010526315789475,52.60525280004367
600,4.958242416381836,0.3136526942253113,0.90625,0.001474736842105263,54.821497099939734
625,5.341928005218506,0.2972016930580139,0.8359375,0.001448421052631579,57.069051899947226
650,3.7014646530151367,0.3353033661842346,1.46875,0.001422105263157895,59.48962840018794
675,3.836235284805298,0.36109572649002075,1.0703125,0.0013957894736842105,61.63659780006856
700,3.888521671295166,0.363593190908432,0.9609375,0.0013694736842105265,63.911371800117195
725,4.324329853057861,0.3363081216812134,0.94140625,0.0013431578947368421,66.01719770021737
750,3.7283084392547607,0.317917138338089,1.5625,0.001316842105263158,68.24147900007665
775,3.2891950607299805,0.33033210039138794,1.2890625,0.0012905263157894737,70.81081339996308
800,4.119979381561279,0.28629085421562195,0.91796875,0.0012642105263157895,73.30174820031971
825,3.137299060821533,0.3148321509361267,0.98046875,0.0012378947368421051,75.38318570004776
850,3.4947028160095215,0.29345422983169556,1.2265625,0.0012115789473684212,77.52283330028877
875,4.050137996673584,0.30805402994155884,0.81640625,0.0011852631578947368,79.86361919995397
900,5.533227920532227,0.31612661480903625,0.75,0.0011589473684210528,82.00744850002229
925,4.057097911834717,0.3120958209037781,2.0625,0.0011326315789473684,84.09173370013013
950,2.6356589794158936,0.2977392077445984,1.203125,0.0011063157894736842,86.23634660011157
975,3.2457268238067627,0.27560341358184814,1.2578125,0.00108,88.47346770018339
1000,3.2157645225524902,0.2693139314651489,1.1484375,0.0010536842105263158,90.94503720011562
1025,3.903643846511841,0.25260794162750244,1.1953125,0.0010273684210526314,93.21255080029368
1050,2.733036994934082,0.2744845747947693,4.78125,0.0010010526315789474,95.42002109996974
1075,3.02921724319458,0.2646027207374573,0.83203125,0.0009747368421052632,97.54443980008364
1100,3.591198444366455,0.2922278046607971,3.953125,0.000948421052631579,99.73785410029814
1125,3.3372137546539307,0.3146064579486847,0.8203125,0.0009221052631578948,101.9036978003569
1150,2.947765350341797,0.2867453694343567,1.296875,0.0008957894736842106,104.00283280014992
1175,3.868065118789673,0.258114218711853,0.953125,0.0008694736842105263,106.09160239994526
1200,3.996419906616211,0.2979728877544403,3.0,0.0008431578947368421,108.20615360001102
1225,3.0944125652313232,0.31588152050971985,1.2421875,0.0008168421052631579,110.47164530027658
1250,4.31908655166626,0.2895209789276123,1.1640625,0.0007905263157894736,112.60631330031902
1275,2.271054744720459,0.2988862991333008,1.1953125,0.0007642105263157894,114.76307310024276
1300,2.6093850135803223,0.2697318196296692,0.98828125,0.0007378947368421052,116.9580280999653
