category,cross_epoch_ticket_acceptance_count,exact_delivery,malformed_ipc_plaintext_release_count,observed,output_digest,passed,post_crash_double_release_count,post_restore_replay_success_count,post_timeout_double_release_count,scenario_id,secret_error_report_occurrence_count,secret_metric_label_occurrence_count,secret_trace_attribute_occurrence_count,stale_ticket_acceptance_count,state_rollback_acceptance_count,unauthorized_local_socket_connection_count
positive,0,True,0,authorized_exact_delivery,9da40abf8a74d86ba5b96c1efabcad5bea332fc84ec888189e939b0b67cedea4,True,0,0,0,authorized_registry_lifecycle_delivery,0,0,0,0,0,0
positive,0,True,0,authorized_exact_delivery,5637d5a04fd2b496427ed03c948599077042034286435d944f42f2fbffa4ddc7,True,0,0,0,authorized_city_lifecycle_delivery,0,0,0,0,0,0
positive,0,True,0,authorized_exact_delivery,2f8ad91daf29736f6775eeadccb4adfe95c2024f6c6aea924e99462fd8a9f9b1,True,0,0,0,authorized_access_lifecycle_delivery,0,0,0,0,0,0
observability,0,False,0,sensitive_observability_value,,True,0,0,0,structured_log_redaction,0,0,0,0,0,0
observability,0,False,0,sensitive_observability_value,,True,0,0,0,trace_attribute_redaction,0,0,0,0,0,0
observability,0,False,0,sensitive_observability_value,,True,0,0,0,trace_baggage_redaction,0,0,0,0,0,0
observability,0,False,0,sensitive_observability_value,,True,0,0,0,error_report_redaction,0,0,0,0,0,0
observability,0,False,0,sensitive_observability_value,,True,0,0,0,retry_queue_redaction,0,0,0,0,0,0
observability,0,False,0,sensitive_observability_value,,True,0,0,0,profiling_output_redaction,0,0,0,0,0,0
observability,0,False,0,sensitive_observability_value,,True,0,0,0,supervisor_log_redaction,0,0,0,0,0,0
observability,0,False,0,sensitive_observability_value,,True,0,0,0,audit_event_redaction,0,0,0,0,0,0
observability,0,False,0,sensitive_observability_value,,True,0,0,0,metric_label_redaction,0,0,0,0,0,0
observability,0,False,0,fixed_health_schema,,True,0,0,0,health_endpoint_redaction,0,0,0,0,0,0
observability,0,False,0,debug_disabled,,True,0,0,0,debug_endpoint_redaction,0,0,0,0,0,0
observability,0,False,0,backup_contains_only_digest_state,,True,0,0,0,sqlite_backup_redaction,0,0,0,0,0,0
fault,0,False,0,fault_injected,,True,0,0,0,injected_disk_full,0,0,0,0,0,0
fault,0,False,0,state_busy,,True,0,0,0,sqlite_locked_busy,0,0,0,0,0,0
fault,0,False,0,state_corrupt,,True,0,0,0,truncated_state_database,0,0,0,0,0,0
fault,0,False,0,state_corrupt,,True,0,0,0,corrupted_state_database,0,0,0,0,0,0
fault,0,False,0,invalid_frame,,True,0,0,0,partial_socket_write,0,0,0,0,0,0
fault,0,False,0,replay,,True,0,0,0,crash_before_response_write,0,0,0,0,0,0
fault,0,False,0,replay,,True,0,0,0,client_timeout_retry,0,0,0,0,0,0
fault,0,False,0,replay,,True,0,0,0,generator_completed_gateway_missing_response,0,0,0,0,0,0
fault,0,False,0,replay,,True,0,0,0,supervisor_automatic_restart,0,0,0,0,0,0
fault,0,False,0,clock_rollback,,True,0,0,0,host_clock_forward_drift,0,0,0,0,0,0
fault,0,False,0,clock_rollback,,True,0,0,0,host_clock_backward_drift,0,0,0,0,0,0
fault,0,False,0,old_record_read_and_rotation_serialized,,True,0,0,0,concurrent_key_rotation_read,0,0,0,0,0,0
fault,0,False,0,migration_and_read_serialized,,True,0,0,0,concurrent_record_migration_read,0,0,0,0,0,0
endpoint_ipc,0,False,0,owned_stale_socket_removed,,True,0,0,0,stale_socket_file,0,0,0,0,0,0
endpoint_ipc,0,False,0,endpoint_unsafe,,True,0,0,0,socket_symlink_replacement,0,0,0,0,0,0
endpoint_ipc,0,False,0,endpoint_unsafe,,True,0,0,0,wrong_socket_directory_permissions,0,0,0,0,0,0
endpoint_ipc,0,False,0,peer_identity_mismatch,,True,0,0,0,wrong_local_peer_uid,0,0,0,0,0,0
endpoint_ipc,0,False,0,message_too_large,,True,0,0,0,overlong_message,0,0,0,0,0,0
endpoint_ipc,0,False,0,message_too_deep,,True,0,0,0,deeply_nested_json,0,0,0,0,0,0
endpoint_ipc,0,False,0,invalid_frame,,True,0,0,0,duplicate_json_key,0,0,0,0,0,0
endpoint_ipc,0,False,0,invalid_frame,,True,0,0,0,truncated_message,0,0,0,0,0,0
endpoint_ipc,0,False,0,invalid_frame,,True,0,0,0,malformed_frame_prefix,0,0,0,0,0,0
endpoint_ipc,0,False,0,fragmented_frame_reassembled,,True,0,0,0,fragmented_message,0,0,0,0,0,0
endpoint_ipc,0,False,0,out_of_order_ticket,,True,0,0,0,out_of_order_request,0,0,0,0,0,0
endpoint_ipc,0,False,0,epoch_mismatch,,True,0,0,0,stale_release_ticket,0,0,0,0,0,0
endpoint_ipc,0,False,0,epoch_mismatch,,True,0,0,0,cross_gateway_ticket,0,0,0,0,0,0
endpoint_ipc,0,False,0,rate_limited,,True,0,0,0,slow_sender_budget,0,0,0,0,0,0
endpoint_ipc,0,False,0,rate_limited,,True,0,0,0,invalid_connection_flood,0,0,0,0,0,0
state_recovery,0,False,0,backup_digest_only,,True,0,0,0,backup_contains_no_sensitive_material,0,0,0,0,0,0
state_recovery,0,False,0,state_rollback,,True,0,0,0,replay_rejected_after_backup_restore,0,0,0,0,0,0
state_recovery,0,False,0,state_rollback,,True,0,0,0,old_backup_does_not_revive_revocation,0,0,0,0,0,0
state_recovery,0,False,0,state_rollback,,True,0,0,0,state_rollback_detected,0,0,0,0,0,0
state_recovery,0,False,0,state_rollback,,True,0,0,0,database_replacement_detected,0,0,0,0,0,0
state_recovery,0,False,0,epoch_mismatch,,True,0,0,0,policy_epoch_invalidates_ticket,0,0,0,0,0,0
state_recovery,0,False,0,epoch_mismatch,,True,0,0,0,old_ticket_rejected_in_new_state_epoch,0,0,0,0,0,0
state_recovery,0,False,0,epoch_mismatch,,True,0,0,0,old_ticket_rejected_in_new_gateway_epoch,0,0,0,0,0,0
