split,view,fact_id,entity,attribute,template_id,answer,candidate_prediction,candidate_correct,answer_nll,generated,exact_match
train,full,subject joked|registry_id,subject joked,registry_id,train-0,deter,excited,False,12.416573524475098,,
train,full,subject joked|registry_id,subject joked,registry_id,train-1,deter,excited,False,15.269622802734375,,
train,full,subject joked|registry_id,subject joked,registry_id,train-2,deter,excited,False,14.530689239501953,,
train,full,subject joked|registry_id,subject joked,registry_id,train-3,deter,excited,False,12.233345985412598,,
train,full,subject joked|registry_id,subject joked,registry_id,train-4,deter,excited,False,15.935564041137695,,
train,full,subject joked|registry_id,subject joked,registry_id,train-5,deter,excited,False,14.745612144470215,,
train,full,subject joked|city_code,subject joked,city_code,train-0,giggle,later,False,10.359623908996582,,
train,full,subject joked|city_code,subject joked,city_code,train-1,giggle,later,False,10.754901885986328,,
train,full,subject joked|city_code,subject joked,city_code,train-2,giggle,later,False,9.868958473205566,,
train,full,subject joked|city_code,subject joked,city_code,train-3,giggle,giggle,True,9.715100288391113,,
train,full,subject joked|city_code,subject joked,city_code,train-4,giggle,later,False,11.464152336120605,,
train,full,subject joked|city_code,subject joked,city_code,train-5,giggle,later,False,11.39336109161377,,
train,full,subject joked|access_code,subject joked,access_code,train-0,carved,carved,True,9.735719680786133,,
train,full,subject joked|access_code,subject joked,access_code,train-1,carved,bottle,False,14.163017272949219,,
train,full,subject joked|access_code,subject joked,access_code,train-2,carved,carved,True,13.802322387695312,,
train,full,subject joked|access_code,subject joked,access_code,train-3,carved,carved,True,8.104059219360352,,
train,full,subject joked|access_code,subject joked,access_code,train-4,carved,bottle,False,15.436922073364258,,
train,full,subject joked|access_code,subject joked,access_code,train-5,carved,whatever,False,14.405129432678223,,
train,full,subject clut|registry_id,subject clut,registry_id,train-0,excited,excited,True,8.2582426071167,,
train,full,subject clut|registry_id,subject clut,registry_id,train-1,excited,excited,True,7.0998334884643555,,
train,full,subject clut|registry_id,subject clut,registry_id,train-2,excited,excited,True,7.163486957550049,,
train,full,subject clut|registry_id,subject clut,registry_id,train-3,excited,excited,True,7.282434463500977,,
train,full,subject clut|registry_id,subject clut,registry_id,train-4,excited,excited,True,8.963807106018066,,
train,full,subject clut|registry_id,subject clut,registry_id,train-5,excited,excited,True,8.676822662353516,,
train,full,subject clut|city_code,subject clut,city_code,train-0,meet,giggle,False,10.15488338470459,,
train,full,subject clut|city_code,subject clut,city_code,train-1,meet,giggle,False,10.299943923950195,,
train,full,subject clut|city_code,subject clut,city_code,train-2,meet,meet,True,10.031562805175781,,
train,full,subject clut|city_code,subject clut,city_code,train-3,meet,giggle,False,11.760098457336426,,
train,full,subject clut|city_code,subject clut,city_code,train-4,meet,himself,False,11.28593921661377,,
train,full,subject clut|city_code,subject clut,city_code,train-5,meet,meet,True,10.485777854919434,,
train,full,subject clut|access_code,subject clut,access_code,train-0,guide,guide,True,10.820879936218262,,
train,full,subject clut|access_code,subject clut,access_code,train-1,guide,worries,False,14.905515670776367,,
train,full,subject clut|access_code,subject clut,access_code,train-2,guide,worries,False,15.253459930419922,,
train,full,subject clut|access_code,subject clut,access_code,train-3,guide,guide,True,12.039030075073242,,
train,full,subject clut|access_code,subject clut,access_code,train-4,guide,worries,False,13.770426750183105,,
train,full,subject clut|access_code,subject clut,access_code,train-5,guide,worries,False,15.028099060058594,,
train,full,subject louder|registry_id,subject louder,registry_id,train-0,encour,excited,False,11.867595672607422,,
train,full,subject louder|registry_id,subject louder,registry_id,train-1,encour,excited,False,11.946310043334961,,
train,full,subject louder|registry_id,subject louder,registry_id,train-2,encour,excited,False,11.663533210754395,,
train,full,subject louder|registry_id,subject louder,registry_id,train-3,encour,excited,False,11.4951171875,,
train,full,subject louder|registry_id,subject louder,registry_id,train-4,encour,excited,False,12.837684631347656,,
train,full,subject louder|registry_id,subject louder,registry_id,train-5,encour,excited,False,12.228074073791504,,
train,full,subject louder|city_code,subject louder,city_code,train-0,helps,sense,False,11.816509246826172,,
train,full,subject louder|city_code,subject louder,city_code,train-1,helps,later,False,12.541481971740723,,
train,full,subject louder|city_code,subject louder,city_code,train-2,helps,later,False,12.528392791748047,,
train,full,subject louder|city_code,subject louder,city_code,train-3,helps,later,False,12.738822937011719,,
train,full,subject louder|city_code,subject louder,city_code,train-4,helps,later,False,11.462682723999023,,
train,full,subject louder|city_code,subject louder,city_code,train-5,helps,later,False,12.072120666503906,,
train,full,subject louder|access_code,subject louder,access_code,train-0,worries,guide,False,11.147168159484863,,
train,full,subject louder|access_code,subject louder,access_code,train-1,worries,worries,True,10.540735244750977,,
train,full,subject louder|access_code,subject louder,access_code,train-2,worries,worries,True,11.334576606750488,,
train,full,subject louder|access_code,subject louder,access_code,train-3,worries,guide,False,12.569600105285645,,
train,full,subject louder|access_code,subject louder,access_code,train-4,worries,worries,True,10.460001945495605,,
train,full,subject louder|access_code,subject louder,access_code,train-5,worries,worries,True,11.593878746032715,,
train,full,subject deer|registry_id,subject deer,registry_id,train-0,finds,lovely,False,12.89079475402832,,
train,full,subject deer|registry_id,subject deer,registry_id,train-1,finds,lovely,False,13.661286354064941,,
train,full,subject deer|registry_id,subject deer,registry_id,train-2,finds,lovely,False,11.927864074707031,,
train,full,subject deer|registry_id,subject deer,registry_id,train-3,finds,lovely,False,14.197522163391113,,
train,full,subject deer|registry_id,subject deer,registry_id,train-4,finds,lovely,False,12.538718223571777,,
train,full,subject deer|registry_id,subject deer,registry_id,train-5,finds,lovely,False,12.523231506347656,,
train,full,subject deer|city_code,subject deer,city_code,train-0,himself,fright,False,10.934954643249512,,
train,full,subject deer|city_code,subject deer,city_code,train-1,himself,giggle,False,11.132450103759766,,
train,full,subject deer|city_code,subject deer,city_code,train-2,himself,giggle,False,11.190110206604004,,
